runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.335956,0,91564,1,91393,78358,2,8,0.3144,0.0215558,746412,526304,392313,409,0.929201,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-12.scen
0.787676,0,91377,1,91394,77269,3,8,0.447472,0.340204,2172297,668083,1722942,412,0.939592,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-14.scen
0.686872,0,94825,1,94750,77221,2,8,0.47791,0.208962,777168,566945,432830,409,0.956374,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/warehouse-20-40-10-2-1-even-24.scen
