runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.00789118,0,1238,1,1206,1082,4,7.33333,0.00424517,0.00364601,6207,10243,1,61,0.00966632,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-1.scen
0.00803843,0,1273,1,1269,1174,3,7,0.00406298,0.00397544,4931,8568,44,62,0.00651094,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-13.scen
0.00529106,0,1221,1,1207,1112,3,6,0.0024896,0.00280147,4976,8593,28,62,0.00530142,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-14.scen
0.0100648,0,1346,1,1331,1197,4,7.66667,0.00360044,0.00646441,6839,11960,12,72,0.00664003,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-18.scen
