runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.00483935,0,2156,1,2157,1822,3,8,0.00134078,0.00349857,4236,10036,58,93,0.00892399,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-11.scen
0.00702103,0,2034,1,2024,1770,3,6,0.00352084,0.00350019,6995,13061,192,91,0.00857294,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-14.scen
0.00845044,0,1983,1,1976,1648,3,8,0.00493673,0.00351372,7657,14971,200,97,0.00815529,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-16.scen
0.0139442,0,2046,1,2046,1778,5,6,0.00541034,0.00853387,9040,17205,341,97,0.0099489,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-25.scen
