runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0470792,435,435,405,405,21,0,0.00064999,0,1799.98,536,1075,0,20,0.00214417,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-1.scen
0.0415042,406,406,388,388,21,0,0.000665999,0,1079.99,417,921,0,20,0.00249545,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-2.scen
0.0271462,414,414,388,388,21,0,0.000657457,0,1559.98,442,964,0,20,0.00187159,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-3.scen
0.0394885,498,498,481,481,21,0,0.00092735,0,1019.98,532,1142,11,20,0.00288719,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-4.scen
0.0343977,578,578,574,574,21,0,0.000888447,0,239.996,627,1405,0,20,0.00205461,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-5.scen
0.0411753,481,481,481,481,21,0,0.000942337,0,0,540,1168,0,20,0.00205708,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-6.scen
0.0263857,430,430,395,395,21,0,0.000780868,0,2099.97,489,1012,0,20,0.00214301,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-7.scen
0.037235,441,441,438,438,21,0,0.000618508,0,179.998,464,1034,0,20,0.00218501,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-8.scen
0.0306349,407,407,400,400,21,0,0.000735371,0,419.995,505,1003,0,20,0.00185517,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-9.scen
0.033084,422,422,391,391,21,0,0.00107967,0,1859.97,459,1042,0,20,0.00222417,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-10.scen
0.0658961,487,487,446,446,21,0,0.000947602,0,2459.96,614,1193,20,20,0.00193585,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-11.scen
0.0334615,443,443,393,393,21,0,0.000785523,0,2999.96,487,1003,4,20,0.00211537,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-12.scen
0.0267604,432,432,424,424,21,0,0.000693889,0,479.994,481,1043,6,20,0.00187918,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-13.scen
0.0291421,455,455,432,432,21,0,0.000758863,0,1379.98,516,1070,4,20,0.00213581,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-14.scen
0.0289271,469,469,427,427,21,0,0.000984707,0,2519.96,531,1131,1,20,0.0018552,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-15.scen
0.045139,432,432,402,402,21,0,0.000707497,0,1799.98,467,1043,0,20,0.002638,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-16.scen
0.0273929,429,429,406,406,21,0,0.000863838,0,1379.98,672,1219,55,20,0.0020621,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-17.scen
0.033815,507,507,489,489,21,0,0.000836026,0,1079.98,597,1288,0,20,0.00200319,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-18.scen
0.0427676,525,525,515,515,21,0,0.000768542,0,599.992,584,1288,0,20,0.0018513,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-19.scen
0.032827,480,480,460,460,21,0,0.000879695,0,1199.98,525,1177,0,20,0.00209159,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-20.scen
0.0448245,508,508,498,498,21,0,0.00143448,0,599.986,566,1220,12,20,0.0021797,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-21.scen
0.0601628,525,525,491,491,21,0,0.00107945,0,2039.96,602,1274,15,20,0.00235842,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-22.scen
0.0483603,496,496,482,482,21,0,0.00117788,0,839.984,604,1236,5,20,0.00206797,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-23.scen
0.0566096,476,476,409,409,21,0,0.00101378,0,4019.93,528,1061,0,20,0.00200882,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-24.scen
0.0417608,558,558,525,525,21,0,0.00103445,0,1979.97,580,1279,0,20,0.00194779,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-25.scen
