runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0576344,904,904,819,819,21,0,0.00180057,0,5099.85,1202,2505,15,40,0.00414918,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-1.scen
0.0730258,978,978,900,900,21,0,0.00477064,0,4679.63,1172,2645,16,40,0.00554965,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-2.scen
0.0481725,834,834,784,784,21,0,0.00167425,0,2999.92,981,2096,0,40,0.00549893,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-3.scen
0.0624994,996,996,885,885,21,0,0.002467,0,6659.73,1113,2501,0,40,0.00410631,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-4.scen
0.0540501,1073,1073,1011,1011,21,0,0.00317716,0,3719.8,1321,2838,21,40,0.00487929,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-5.scen
0.0572249,1057,1057,983,983,21,0,0.00216522,0,4439.84,1326,2838,39,40,0.00426861,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-6.scen
0.0721197,1014,1014,864,864,21,0,0.00410271,0,8999.38,1815,3009,297,40,0.00429594,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-7.scen
0.0534552,1007,1007,935,935,21,0,0.00184228,0,4319.87,1189,2627,1,40,0.00424158,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-8.scen
0.071833,1008,1008,928,928,21,0,0.00234066,0,4799.81,1335,2775,0,40,0.00544119,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-9.scen
0.0807665,901,901,825,825,21,0,0.00220617,0,4559.83,1206,2531,54,40,0.00749044,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-10.scen
0.0537873,907,907,810,810,21,0,0.0023611,0,5819.77,1201,2591,28,40,0.00421645,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-11.scen
0.0881523,1042,1042,939,939,21,0,0.00254145,0,6179.74,1788,3216,205,40,0.0047156,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-12.scen
0.0808947,1000,1000,953,953,21,0,0.00180474,0,2819.92,1178,2555,46,40,0.00409768,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-13.scen
0.0730833,959,959,882,882,21,0,0.011304,0,4619.13,6188,9690,120,62,0.00461228,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-14.scen
0.0731148,959,959,860,860,21,0,0.00203335,0,5939.8,1170,2500,0,40,0.00405849,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-15.scen
0.0574001,911,911,859,859,21,0,0.00179119,0,3119.91,1071,2338,0,40,0.00452699,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-16.scen
0.0487978,938,938,810,810,21,0,0.00193567,0,7679.75,1439,2806,92,40,0.00416232,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-17.scen
0.0628162,1092,1092,1025,1025,21,0,0.0026078,0,4019.83,1558,3228,7,40,0.00419367,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-18.scen
0.0694208,1092,1092,987,987,21,0,0.00219545,0,6299.77,1416,3119,6,40,0.00419373,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-19.scen
0.0580768,974,974,882,882,21,0,0.00209732,0,5519.81,1177,2543,19,40,0.00421268,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-20.scen
0.0531882,906,906,868,868,21,0,0.00183597,0,2279.93,1166,2508,1,40,0.00465238,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-21.scen
0.0708472,1014,1014,944,944,21,0,0.00220013,0,4199.85,1418,2693,158,40,0.00407369,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-22.scen
0.0650307,1015,1015,952,952,21,0,0.00200273,0,3779.87,1168,2587,10,40,0.00413653,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-23.scen
0.0447024,904,904,840,840,21,0,0.00235318,0,3839.85,1068,2357,14,40,0.00503353,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-24.scen
0.0643222,1049,1049,972,972,21,0,0.00175502,0,4619.86,1254,2732,0,40,0.00393977,LNS(PP;PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_random/random-32-32-20-random-25.scen
