runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0285608,0,2846,3,2868,2287,6,6.6,0.0226674,0.0107139,8987,19411,435,126,0.0186044,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-3.scen
0.00462842,0,2828,1,2818,2290,2,8,0.00297659,0.00165183,8912,15936,192,109,0.011517,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-5.scen
0.0607971,0,2741,1,2705,2288,9,8,0.0104887,0.0503084,30433,42181,8807,149,0.0146588,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-8.scen
0.0252773,0,2969,1,2960,2298,2,8,0.0237637,0.00151363,9375,19667,617,109,0.0189482,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-9.scen
0.0449773,0,3139,2,3137,2496,4,8,0.0274856,0.0216538,16331,36740,1945,124,0.0136534,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-11.scen
0.0249984,0,3142,1,3170,2501,4,8,0.0107514,0.014247,14228,27335,466,118,0.0152343,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-12.scen
0.0142841,0,3093,1,3093,2528,3,8,0.00634175,0.00794234,11891,22417,574,113,0.0147591,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-13.scen
0.0336201,0,3205,2,3175,2479,4,8,0.0208415,0.0167379,14293,32065,468,124,0.0112509,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-15.scen
0.0274875,0,3245,1,3242,2535,2,8,0.0254715,0.00201602,9195,24294,589,109,0.0114041,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-16.scen
0.0171898,0,3149,1,3123,2449,2,8,0.00910197,0.00808787,11394,18085,1465,109,0.0170562,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-18.scen
0.0100222,0,3000,1,3000,2509,2,8,0.00772544,0.00229674,9849,18399,509,109,0.012079,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-19.scen
0.0237367,0,3138,2,3126,2567,3,7.5,0.0180464,0.00826821,10167,25047,254,116,0.0107253,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-20.scen
0.0196418,0,3184,2,3164,2436,2,8,0.0147798,0.00972395,12055,22649,1193,109,0.0123978,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-21.scen
0.0191796,0,3164,1,3146,2455,2,8,0.0134359,0.00574373,9691,18381,337,109,0.0126447,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-22.scen
0.0219577,0,3045,1,3032,2424,2,8,0.0202549,0.00170283,12095,23506,1288,109,0.012654,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-23.scen
0.0123956,0,3099,2,3069,2504,3,8,0.00930974,0.00481843,10631,20030,391,117,0.0116399,InitLNS(PP),/home/trojan/Desktop/curve/MAPF-LNS2/scen_even/random-32-32-20-even-24.scen
